hotel,arrival_date_year,arrival_date_month,stays_in_week_nights,stays_in_weekend_nights,meal,Meal_cost,country,market_segment,daily_rate_per_night,required_car_parking_spaces,Revenue
City Hotel,2020,April,2,0,BB,$12.99 ,PRT,Aviation,$110.00 ,0,$571.56 
City Hotel,2020,January,2,0,BB,$12.99 ,AUT,Aviation,$95.00 ,0,$493.62 
City Hotel,2020,January,2,0,BB,$12.99 ,BEL,Aviation,$95.00 ,0,$493.62 
City Hotel,2020,June,1,0,BB,$12.99 ,BEL,Aviation,$95.00 ,0,$246.81 
City Hotel,2020,June,1,0,BB,$12.99 ,PRT,Aviation,$144.00 ,0,$374.11 
City Hotel,2020,June,3,0,BB,$12.99 ,PRT,Aviation,$144.00 ,0,"$1,122.34 "
City Hotel,2020,June,0,1,BB,$12.99 ,PRT,Aviation,$95.00 ,0,$246.81 
City Hotel,2020,June,1,0,BB,$12.99 ,PRT,Aviation,$95.00 ,0,$246.81 
City Hotel,2020,June,1,1,BB,$12.99 ,FIN,Aviation,$110.00 ,0,$571.56 
City Hotel,2020,June,1,0,BB,$12.99 ,BEL,Aviation,$95.00 ,0,$246.81 
City Hotel,2020,June,1,0,BB,$12.99 ,DEU,Aviation,$95.00 ,0,$246.81 
City Hotel,2020,June,1,0,BB,$12.99 ,FRA,Aviation,$95.00 ,0,$246.81 
City Hotel,2020,June,1,0,BB,$12.99 ,PRT,Aviation,$95.00 ,0,$246.81 
City Hotel,2020,June,2,1,BB,$12.99 ,PRT,Aviation,$95.00 ,0,$740.43 
City Hotel,2020,May,1,0,BB,$12.99 ,DEU,Aviation,$165.00 ,0,$428.67 
City Hotel,2020,May,1,0,BB,$12.99 ,PRT,Aviation,$144.00 ,0,$374.11 
City Hotel,2020,May,1,0,BB,$12.99 ,PRT,Aviation,$110.00 ,0,$285.78 
City Hotel,2020,May,1,0,BB,$12.99 ,PRT,Aviation,$110.00 ,0,$285.78 
City Hotel,2020,May,3,0,BB,$12.99 ,PRT,Aviation,$95.00 ,0,$740.43 
City Hotel,2020,May,2,0,BB,$12.99 ,BEL,Aviation,$95.00 ,0,$493.62 
City Hotel,2020,May,3,0,BB,$12.99 ,AUT,Aviation,$95.00 ,0,$740.43 
City Hotel,2020,January,1,0,BB,$12.99 ,AUT,Aviation,$79.00 ,0,$205.24 
City Hotel,2020,June,3,2,BB,$12.99 ,PRT,Aviation,$110.00 ,0,"$1,428.90 "
City Hotel,2020,June,1,0,BB,$12.99 ,AUT,Aviation,$110.00 ,0,$285.78 
City Hotel,2020,June,0,0,BB,$12.99 ,PRT,Aviation,$0.00 ,0,$0.00 
City Hotel,2020,June,0,0,BB,$12.99 ,NLD,Aviation,$0.00 ,0,$0.00 
City Hotel,2020,March,10,4,BB,$12.99 ,ITA,Aviation,$95.00 ,0,"$3,455.34 "
City Hotel,2020,March,0,1,BB,$12.99 ,ITA,Aviation,$80.00 ,0,$207.84 
City Hotel,2020,May,1,0,BB,$12.99 ,AUT,Aviation,$95.00 ,0,$246.81 
City Hotel,2020,April,1,0,BB,$12.99 ,ESP,Aviation,$110.00 ,0,$285.78 
City Hotel,2020,January,3,2,BB,$12.99 ,PRT,Aviation,$79.00 ,0,"$1,026.21 "
City Hotel,2020,June,10,4,BB,$12.99 ,GRC,Aviation,$110.00 ,0,"$4,000.92 "
City Hotel,2020,June,2,0,BB,$12.99 ,DEU,Aviation,$110.00 ,0,$571.56 
City Hotel,2020,March,1,0,BB,$12.99 ,PRT,Aviation,$95.00 ,0,$246.81 
City Hotel,2020,March,2,0,BB,$12.99 ,PRT,Aviation,$80.00 ,0,$415.68 
City Hotel,2020,May,1,2,BB,$12.99 ,BEL,Aviation,$125.00 ,0,$974.25 
City Hotel,2020,May,1,2,BB,$12.99 ,PRT,Aviation,$110.00 ,0,$857.34 
City Hotel,2020,May,1,2,BB,$12.99 ,BEL,Aviation,$110.00 ,0,$857.34 
City Hotel,2020,April,3,2,BB,$12.99 ,PRT,Aviation,$110.00 ,0,"$1,428.90 "
City Hotel,2020,January,3,2,BB,$12.99 ,PRT,Aviation,$79.00 ,0,"$1,026.21 "
City Hotel,2020,June,5,1,BB,$12.99 ,AUT,Aviation,$95.00 ,0,"$1,480.86 "
City Hotel,2020,June,1,2,BB,$12.99 ,AUT,Aviation,$95.00 ,0,$740.43 
City Hotel,2020,June,1,2,BB,$12.99 ,PRT,Aviation,$95.00 ,0,$740.43 
City Hotel,2020,June,2,2,BB,$12.99 ,DEU,Aviation,$95.00 ,0,$987.24 
City Hotel,2020,March,1,1,BB,$12.99 ,ITA,Aviation,$85.85 ,0,$446.08 
City Hotel,2020,March,2,1,BB,$12.99 ,CHE,Aviation,$80.00 ,0,$623.52 
City Hotel,2020,March,2,1,BB,$12.99 ,HRV,Aviation,$80.00 ,0,$623.52 
City Hotel,2020,March,1,0,BB,$12.99 ,ESP,Aviation,$95.00 ,0,$246.81 
City Hotel,2020,March,1,0,BB,$12.99 ,GBR,Aviation,$95.00 ,0,$246.81 
City Hotel,2020,March,2,1,BB,$12.99 ,GRC,Aviation,$95.00 ,0,$740.43 
City Hotel,2020,March,10,4,BB,$12.99 ,BEL,Aviation,$110.00 ,0,"$4,000.92 "
City Hotel,2020,May,2,1,BB,$12.99 ,ITA,Aviation,$110.00 ,0,$857.34 
City Hotel,2020,April,3,1,BB,$12.99 ,DEU,Aviation,$120.00 ,0,"$1,247.04 "
City Hotel,2020,July,1,1,BB,$12.99 ,AUT,Aviation,$80.00 ,0,$415.68 
City Hotel,2020,June,1,1,BB,$12.99 ,BEL,Aviation,$110.00 ,0,$571.56 
City Hotel,2020,June,1,2,BB,$12.99 ,HUN,Aviation,$110.00 ,0,$857.34 
City Hotel,2020,March,1,1,BB,$12.99 ,ESP,Aviation,$80.00 ,0,$415.68 
City Hotel,2020,March,1,1,BB,$12.99 ,PRT,Aviation,$95.00 ,0,$493.62 
City Hotel,2020,May,0,2,BB,$12.99 ,BEL,Aviation,$193.50 ,0,"$1,005.43 "
City Hotel,2020,May,0,2,BB,$12.99 ,DEU,Aviation,$150.00 ,0,$779.40 
City Hotel,2020,May,0,2,BB,$12.99 ,SVN,Aviation,$150.00 ,0,$779.40 
City Hotel,2020,May,1,1,BB,$12.99 ,NLD,Aviation,$95.00 ,0,$493.62 
City Hotel,2020,May,2,2,BB,$12.99 ,GRC,Aviation,$110.00 ,0,"$1,143.12 "
City Hotel,2020,July,3,0,BB,$12.99 ,PRT,Aviation,$95.00 ,0,$740.43 
City Hotel,2020,May,4,0,BB,$12.99 ,IRL,Aviation,$110.00 ,0,"$1,143.12 "
City Hotel,2020,May,0,1,BB,$12.99 ,PRT,Aviation,$95.00 ,0,$246.81 
City Hotel,2020,May,1,1,BB,$12.99 ,GRC,Aviation,$95.00 ,0,$493.62 
City Hotel,2020,May,2,0,BB,$12.99 ,BEL,Aviation,$110.00 ,0,$571.56 
City Hotel,2020,June,2,0,BB,$12.99 ,PRT,Aviation,$121.83 ,0,$633.03 
